نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي
فيلا,سكني, الرياض , حي ظهرة البديعة ,شرقية,312,-,5,2,5+,-,1,1,1,0,1,1,0,0,1,0,1900000
أرض,سكني, الرياض , حي ظهرة لبن ,شمالية,300,2600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,780000
أرض,سكني, الرياض , حي النرجس ,شمالية شرقية,1050,7500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7875000
أرض,سكني, الرياض , حي الملقا ,غربية,900,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4500000
فيلا,سكني, الرياض, الرياض ,غربية,375,-,7+,3,4,15,1,1,0,0,1,1,0,0,1,0,1500000
فيلا,سكني, الرياض , حي المروج ,جنوبية,350,-,5,3,5+,20,1,1,1,1,1,1,0,0,1,1,4000000
أرض,سكني, امارة منطقة الرياض, الرياض ,شمالية شرقية,420,2570,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1079400
فيلا,سكني, الرياض , حي القدس ,شمالية,270,-,6,3,5+,-,1,0,1,0,0,1,0,0,1,0,2800000
أرض,تجاري وسكني, الرياض , حي المشرق ,جنوبية,825,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,825000
أرض,سكني, حريملاء, الرياض ,شرقية,359,1800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,646200
أرض,سكني, الرياض , حي الوادي ,جنوبية غربية,270,6000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1620000
فيلا,سكني, الرياض, الرياض ,جنوبية,450,-,7+,1,5+,20,0,1,0,0,0,0,0,0,0,0,1000000
أرض,سكني, الرياض , حي النرجس ,شرقية,450,5800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2610000
فيلا,سكني, الرياض , حي الجنادرية ,غربية,360,-,7+,4,5+,20,1,1,0,0,1,1,0,0,1,1,1600000
أرض,تجاري وسكني, الرياض , حي الدفاع ,جنوبية شرقية,1225,2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2450000
فيلا,سكني, الرياض , حي المونسية ,جنوبية,250,-,7+,3,5+,-,1,1,1,1,1,1,0,0,1,0,1400000
فيلا,سكني, الرياض , حي العقيق ,شرقية,400,-,4,2,4,-,1,1,1,1,1,1,0,1,1,0,3800000
أرض,سكني, حريملاء, الرياض ,جنوبية,459,2680,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1230120
أرض,تجاري وسكني, الرياض , حي العلا ,ثلاث شوارع,24000,3000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72000000
أرض,سكني, الرياض , حي الرمال ,جنوبية,500,4200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2100000
أرض,سكني, الرياض , حي العارض ,شمالية,300,3666,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1099800
فيلا,سكني, الرياض , حي الدار البيضاء ,شمالية,246,-,5,2,5+,20,1,1,1,0,1,1,0,0,1,0,825000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,407,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,407000
أرض,تجاري وسكني, الرياض , حي الروضة ,شرقية,600,4000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2400000
فيلا,سكني, الرياض , حي الخليج ,غربية,324,-,5,2,4,-,1,1,1,1,1,1,0,0,1,0,2200000
فيلا,سكني, الرياض , حي قرطبة ,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,16700000
أرض,سكني, الرياض , حي المهدية ,شمالية,450,2444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1099800
أرض,سكني, الرياض , حي الشرق ,شرقية,360,2400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,864000
أرض,تجاري وسكني, الرياض , حي المصيف ,شمالية,1270,4500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5715000
أرض,سكني, الرياض , حي المهدية ,جنوبية,1258,2500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3145000
فيلا,سكني, الرياض , حي بدر ,غربية,250,-,5,3,5+,-,1,0,0,0,0,1,0,0,1,0,850000
فيلا,سكني, الرياض , حي الرمال ,جنوبية شرقية,555,-,6,5,5+,-,1,1,1,1,1,1,0,0,1,0,3850000
أرض,سكني, امارة منطقة الرياض, الرياض ,شرقية,750,575,-,-,-,-,-,-,-,-,-,-,-,-,-,-,431250
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,255,1500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,382500
فيلا,سكني, الرياض , حي الزهرة ,جنوبية,500,-,5,2,5+,-,0,1,1,0,1,1,0,0,1,0,880000
فيلا,سكني, امارة منطقة الرياض, الرياض ,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,1700000
أرض,سكني, الرياض , حي العارض ,جنوبية,390,4500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1755000
أرض,سكني, امارة منطقة الرياض, الرياض ,شمالية,800,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4000000
فيلا,سكني, الرياض , حي الازدهار ,غربية,200,-,4,4,5+,-,1,0,1,0,0,1,0,0,1,1,2400000
فيلا,سكني, الرياض , حي الندى ,شمالية شرقية,525,-,6,3,5+,12,1,1,1,0,1,1,1,1,1,1,5700000
فيلا,سكني, حي قرطبة , شارع جبل مره ,شرقية,750,-,5,2,4,-,1,0,1,1,0,1,0,0,1,1,4500000
فيلا,سكني, الرياض , حي النزهة ,شمالية,336,-,5,4,5+,-,1,1,1,1,0,1,0,0,1,0,3500000
أرض,تجاري وسكني, الرياض , حي القيروان ,شمالية,692,6400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4428800
أرض,سكني, امارة منطقة الرياض, الرياض ,غربية,425,6000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2550000
أرض,تجاري وسكني, الرياض , حي ظهرة لبن ,جنوبية,900,1222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1099800
أرض,سكني, حريملاء, الرياض ,جنوبية,630,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3150000
أرض,تجاري وسكني, الرياض , حي نمار ,جنوبية غربية,1200,6500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7800000
فيلا,سكني, الرياض , حي الجنادرية ,شمالية,375,-,4,1,4,-,0,1,0,0,0,1,0,0,1,0,1200000
أرض,سكني, الرياض , حي النظيم ,جنوبية,833,1570,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1307810
أرض,تجاري وسكني, الرياض , حي القادسية ,شمالية,312,3000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,936000
فيلا,سكني, الرياض , حي طويق ,شرقية,350,-,5,3,5+,20,1,1,1,0,1,1,0,0,1,0,1200000
أرض,سكني, الرياض , حي العارض ,غربية,450,4800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2160000
أرض,سكني, الرياض , حي النرجس ,جنوبية غربية,1000,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000000
أرض,سكني, حي المهدية , شارع سعيد بن عبدالله باقشير ,شرقية,465,1226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,570090
فيلا,سكني, الرياض , حي العقيق ,جنوبية,425,-,7+,2,5+,-,1,0,1,1,0,1,0,0,1,0,3200000
أرض,سكني, الرياض , حي الصحافة ,شمالية,343,2871,-,-,-,-,-,-,-,-,-,-,-,-,-,-,984753
فيلا,سكني, امارة منطقة الرياض, الرياض ,جنوبية,345,-,5,3,5+,-,0,1,1,0,0,0,0,0,1,0,2500000
أرض,سكني, الرياض , حي الريان ,جنوبية شرقية,780,6000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4680000
أرض,سكني, امارة منطقة الرياض, الرياض ,شمالية,2394,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2394000
فيلا,سكني, حي الازدهار , شارع ابراهيم القيسي ,جنوبية,300,-,5,1,4,-,0,1,1,1,1,0,1,0,1,0,2900000
أرض,تجاري, الرياض , حي النهضة ,شرقية,420,3000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1260000
أرض,تجاري وسكني, الرياض , حي اشبيلية ,شمالية,343,2871,-,-,-,-,-,-,-,-,-,-,-,-,-,-,984753
أرض,سكني, حريملاء, حي الخير ,شمالية,625,2150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1343750
أرض,سكني, الرياض , حي المهدية ,شمالية,810,2550,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2065500
فيلا,سكني, الرياض , حي طويق ,شمالية غربية,250,-,5,3,5+,25,1,1,0,0,0,0,0,0,1,1,1350000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,400,1100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,440000
أرض,سكني, حريملاء, الرياض ,جنوبية,742,1400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1038800
فيلا,سكني, الرياض , حي طويق ,غربية,350,-,5,3,5+,15,1,1,1,0,1,1,0,0,1,0,1230000
فيلا,سكني, امارة منطقة الرياض, الرياض ,شمالية,200,-,5,3,5+,20,1,1,0,0,0,1,0,0,1,0,1450000
أرض,سكني, الرياض , حي القادسية ,شرقية,234,3000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,702000
أرض,تجاري, الرياض , حي المهدية ,غربية,450,2700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1215000
أرض,سكني, الدرعية, العيينة ,شمالية,630,2500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1575000
أرض,سكني, الرياض , حي بدر ,غربية,900,546,-,-,-,-,-,-,-,-,-,-,-,-,-,-,491400
أرض,سكني, الرياض , حي المشرق ,جنوبية,450,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2250000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,900,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4500000
أرض,تجاري, الرياض , حي النرجس ,شمالية غربية,962,6400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6156800
فيلا,سكني, الرياض , حي المونسية ,جنوبية غربية,480,-,5,2,5+,-,0,1,0,0,0,0,0,0,0,0,5000000
أرض,سكني, الرياض , حي الخير ,شرقية,375,1480,-,-,-,-,-,-,-,-,-,-,-,-,-,-,555000
أرض,سكني, الرياض , حي العريجاء الغربي ,جنوبية,472,1695,-,-,-,-,-,-,-,-,-,-,-,-,-,-,800040
أرض,تجاري, حريملاء, الرياض ,شمالية,750,1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,949500
أرض,سكني, الرياض , حي الخير ,جنوبية,800,1812,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1449600
أرض,سكني, حريملاء, الرياض ,شرقية,300,1900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,570000
أرض,تجاري وسكني, الرياض , حي ظهرة لبن ,جنوبية,824,2100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1730400
